puuid,total_game_duration,avg_time_between_games,win_loss_ratio,unique_champions,kill_death_ratio,avg_champion_level,avg_gold_usage,avg_daily_streak,churn,total_active_days
rYzy_9mEceIfF8LDmZlbbsLzScNbjWk5Fn4Uxwdrs5RF4IucW6_-p3G06gFjxvTYSKNig6k5Q18o-g,1628.0,392.0,2.0,1,0.6666666666666666,12.0,14947.5,1,0,1
U0mAcTcdWUH_M_d-I-yI_2PbyNpcabl3CRlBsQW06lpUDN6GvqU1c1am6yYMy-uUdAFWzaF8BOHZ_g,1626.142857142857,2054522.5,0.75,4,1.5454545454545454,15.0,21528.714285714286,4,1,4
xPo6Buz9jXAIG3u1jBF39y4a7NyEbEifgIDs--axrlAwM0SNkG7PYRQT_j6i176Fb1PRzkRxEUuD1w,1667.0,555310.0,0.5,2,1.5,14.0,21777.333333333332,2,1,2
0yeq-w1huaX9fAeSjq6nW3ftHP_AilXUxl6vjj8Ux8g2iiFQ-crhgBsMQ6Hm7gyVfztxEXEPtYLSjQ,1548.0,515161.0,1.0,2,2.8,14.5,21227.5,2,1,2
9B2CX_qmmp5f7iWHjeVH88h2fJAjkD3B8HzsfJUfewG730VYk4PwsQU8BA5OUwItMD8yl0pSH3LZXg,1652.75,284514.3333333333,0.3333333333333333,2,1.0526315789473684,13.25,21283.0,3,1,3
yguvh-eW0PQw75dN9LaDvi4o861_1LbXZDsQtjTtgInxvsT4wlOd08jtIplmCn5pyTDQarS8xotdww,1937.75,1370465.0,1.0,4,1.3181818181818181,13.25,21655.0,4,1,4
tsdyKmb-bzI9XqAzPM7gI8Fusj68zTFOoJT4N2XaOEN7zJMzC7VJ3ZrZ8g5hJbg5AOKD1u3SWcLl2g,1453.0,0,1.0,1,0.6,14.0,18772.0,1,0,1
nniXLZqkrwxNOotdiX6MaU6OnVMJ83jyUcYcpWd7owpLbLLvYWwO3rQyKy_LQ55imEevapov-YPVFQ,1763.0,326569.34285714285,1.0,13,0.936046511627907,15.06,22306.583333333332,16,1,16
I5HdXQrcSthi9E069BsWCsDAr1EFFg0hp0ar1agBfaqrf53SpQ5BWgmnhSxVaXlEI9SOK9MzkVsamw,1588.5714285714287,2212122.8333333335,2.5,4,1.56,14.0,19391.14285714286,6,1,6
llXOW0V3HgT3VIhecB_t7JGHe-bxmrCJGJErUTm8QEh3o049b-FuYNLcGEK3qSJBl-XNTApT-TQ6Cg,1284.5,433693.0,1.0,2,0.3,11.5,15176.0,2,1,2
46T3YauprsYawR1OmJpFi5V86_8hwEZB3OUdNP-T9M0p517ceyTODb_EYmZmO4v5F-KyYNCodSihmA,1453.0,0,0.0,1,1.0,12.0,18034.0,1,0,1
03wdAZZ2_s44k9TA5WPJsZcP1OccnjFgwEOXyYCwSQSV8EU0IKyen47IC-nHsf-GFcyAbXOX3rW5kg,1889.0,2758434.6,1.0,5,0.9142857142857143,14.33,23067.333333333332,6,1,6
4tC9T5Pwb8USHcZ_AiARfplUgN4AUZCJbbD4X4nqknSsYh1FFmzlWEGn69Jrs1pib_-phQ2V6GPipQ,1786.5,343039.0,1.0,1,0.36363636363636365,13.0,16685.5,2,1,2
JyfyDrPJJHxh2ibkfXoFCnc9UHLl2HeT3kNO7FNzG2luVUVYRjm5bdB01DatBSsehh7HXMJner12Ug,2230.0,0,0.0,1,1.25,18.0,29994.0,1,0,1
4lOZtpflMkOto-S8jo43N5bIBIyoz2jBqfu2EPJlXiyVlf_FPLe--MObMbXL1KAZW0CjEW8D9568YQ,2230.0,0,0.0,1,0.5,16.0,26646.0,1,0,1
IrjWShvQ_sx0j_wjqJacXd484LkbL7shrcvdnDLKXvU_frVKYak5hG7nf6phHw3pRNO-QampzDuo2g,2230.0,0,0.0,1,0.2,18.0,33854.0,1,0,1
fD06e86_aVwD2BRWD2SlWI1i32lSyMuApmyxSNt1B8Y7QH0sUlcgMP6_-AKYv-_NOuR2sWoaNz92IA,1706.4,755424.7777777778,1.5,5,1.558139534883721,14.1,21837.4,8,1,8
4wX8HVKlLGFzpZ-bGHjCV9oFayBq0RLAX7yvK2MGTG1JqcUFG0sVaIOEhOm1cWRumhVKM21eE2vZOg,1713.8333333333333,2521336.4,0.5,4,1.4666666666666666,14.83,20356.0,5,1,5
M_c5EAph6_ZGUXUTZymFipQjvtzJ_XwJlZOywdvFekc-cW0B1OQoodIzj8n0WHCtognw6Y6qXfybAA,2230.0,0,1.0,1,7.0,18.0,31338.0,1,0,1
_OdR_qT168FEMVGBKB7kdOGR4ooApsutIIR3jd0eT3b02UJxWBsmWIrUrn4pxlnAGFp9KEh3EU2TTQ,2270.3333333333335,434759.0,0.5,1,0.8888888888888888,17.0,27705.666666666668,2,1,2
iCFLVC_agZFABTewNHQWBcAO2mj3IwEvmd22Oepvzxzyq1HDvKWiwBDxZ3_2puVIcc7XN5ImP-xgCA,2230.0,0,1.0,1,2.0,16.0,25066.0,1,0,1
Ifw5Q7s7rowmjnJaphZYwbnXrlZRNfbnY-RMq8HYIPwpbmEgUigPbOAlPZ7s2-F62MhuRc9P4rD9qQ,1919.0,942165.0,2.0,1,0.7,13.5,17907.5,2,1,2
QvsMpU6U-aYMCE72_lgeQVDOHbr_PjGgvqfrf9GGcZKaL4S8JxX5E_pY6Jo0QuDNWaZf5rh_pNU6xQ,1848.5714285714287,167238.5,1.3333333333333333,1,1.0,15.86,24652.14285714286,5,1,5
NeyJFm8nzIQkOkYgdyAxC53KZKSSpjCoj-BAlwWuuri6_wINxE2Lug0dd793KRijuLxyJe79n5ASwA,2406.0,0,1.0,1,1.0,18.0,32174.0,1,0,1
lThKlxJIT6vR4ySRIAtT3bsXAwnRVAxkBllYkCgpCNaXErkC2bbPFGAMxx6TieULIy5guLICUS5-Dw,1783.0,673849.3333333334,2.5,6,1.275,14.71,24937.571428571428,4,1,4
Ff4UPs9uKhOOD4W0UNalNwDOkJD90Y3j-cEGKpv_Lpi99iWggeAMOc8ppbw4kHn2TB7W-5GO5UJ-dw,2446.0,1690706.0,2.0,2,1.0,18.0,35840.5,3,1,3
pcuHoCcTm1tV2n8qNh-eqJqlzlvdP80GLwh8X1c37O36Tgz2TjFcgIvT2IOhW5QitrAh4cMcCp8Mcw,1906.857142857143,647365.0,6.0,6,0.8604651162790697,14.43,22222.428571428572,5,1,5
9KtctDt1q7knsQEnvKqGmqAAteDur_rKLaFa9YFI_UwzYNirhUh9MXFwBn_BUEYEIS3eMQ9Iv_W3vw,2406.0,0,0.0,1,2.4,18.0,34459.0,1,0,1
yp1f0yioA-EgreLIdIa0m7Jib0zONqY9Xdl2tB5qVDjnXvbk_nZ4db3lUU7DednfrU-4bQxZ7VC48Q,2406.0,0,0.0,1,1.0,18.0,34263.0,1,0,1
YirlomRrXuMvmpfojGnTY3U0FMghgATGB-0FYgo9uVNrI1pkQDdOGzudxRQjp7B8AbVeyEAGrNFKEA,1823.3333333333333,768573.0,0.5,2,0.5789473684210527,13.33,19644.0,3,1,3
YcuD93jBQpp062BtxO4VTLLitfSpXkvBK5c0xWHVlty4lqlBJVmxdKkjMqry_yrhDconk-S7-G-7Tg,2336.0,0,0.0,1,0.5,18.0,29910.0,1,0,1
wC-l6FvJkvG0p7-jJhlWiOxgxTY1gqZqpXzQ61AQjqnqxu1YemXCUGcvyYyGQohkgftZm3WEziGaXw,1772.0,2165579.0,0.5,3,0.4583333333333333,14.0,20849.0,3,1,3
yAAnJYdr_YuWal_mivY2Y7Umm3l_L0fq9GoTpOsYYZBZCu0OdKyVpdOikjB8CavFlO_MpZgpJ6op2w,1739.857142857143,1863797.6666666667,1.3333333333333333,3,2.0606060606060606,16.14,27672.14285714286,7,1,7
fAlDrQg7SDjlLwKuBMM0v7fnjDLlgY76wi9uuT3O-P9ul0AXcLro8S8lFplHpGOUmnFjwooU4q_fDg,1869.0,4327796.0,0.0,2,2.3846153846153846,14.5,32763.5,2,1,2
oG2Upxl4cpOM7-kogz9vIpuveP4u5xTiLoeQJVV2EVoYDTpk99FvMImAmnRwkdV54d5QJs_Qand3hA,2336.0,0,0.0,1,0.1,14.0,19327.0,1,0,1
XEmVXooeyjBYMHY2eo_W9P3Q9IZ_rc7LJv5xED8M9RVYev6P1gxNXDDTj-2Ni7YDRLLwc9lgz7Dpnw,1779.3333333333333,2032519.0,2.0,2,0.6666666666666666,15.0,23000.666666666668,3,1,3
HVoGv9pFwmHOdhespAKEAHZp7jljfFNX-P5XGptVe4Iz4vEmJ_ULVl0CE5sSrkBraP156RrI1NwwhA,1949.0,304059.5,2.0,2,2.5714285714285716,16.33,29754.333333333332,2,1,2
AqFkp_nzJ4mh2W-FQ-8kYBTmSdZpWdrx9W0H9-LSBgmOOu6JfNLfB1IBIFViYv06NKRIDu_FNVqiKQ,1653.3333333333333,931455.0,0.5,3,0.5,13.0,17341.333333333332,2,1,2
K0lFkxO_2QcYnzJiSC-nmJNDgASi5CH1qYUJ5KFwidrOY-o_-PguLPxidgUBRLk3rGYGDa3nAM475A,1475.4615384615386,1214932.0,1.6,6,0.8771929824561403,14.23,18518.923076923078,12,1,12
UxQChlFfh9T6AFSbXkv7ifWuVB2EYhj9Bk0tmB6SkqU2-6-6hfHOQJjxFCRikCKkCR0fiDDoX29ClA,1463.3333333333333,547407.5,0.5,3,0.6875,14.33,19237.666666666668,2,1,2
YdAqamltrOnA5iLEgcC0vI4nn_9A_zorUm-fGgHLU-OSKOYNV_1eO_QftY2oewRZ1ZC13cGCuIahEw,1719.0,0,1.0,1,1.1666666666666667,17.0,30303.0,1,0,1
LNS8vOVWOoas3Dsnx3JWbhdKUHU8kAeeVBSv-jYcckXjqoWnGYeaHMXMDFs3Vu--Y8Umbj3CbiA-fg,1555.75,570344.0,0.3333333333333333,3,0.85,13.75,18602.0,3,1,3
lUaKqBIN6gkOpKmSp3AuT0oyPjk9l1Kz59IpZyiC8cPNzp--ue5LfOaMpxtPWn6CU7euOGshfkkgJg,1719.0,0,1.0,1,3.6666666666666665,15.0,25557.0,1,0,1
YEcwLorf4crVlbJBdl4UgiqStwQrIppTD6NnffD2X6LYgNr52EHbYrfByju_3MP-LtC5_mchkLYNpQ,1510.0,1655615.0,3.0,4,0.8571428571428571,13.0,19253.5,4,1,4
d6yFDye2JLekJJen1Z6ynW7FkJZvKKRlWQa0KOLFZ0G1_Aso5hYX_alPjgrxtQhx0XIDWXtBTcZlaA,941.0,0,1.0,1,1.0,10.0,11287.0,1,0,1
k81ljTBMJP2aN6TZ2WXgBvqKT1pB8juQyd9RjOP0wsHNGUUE2zA58I96Fb6zkVJDXolwBOqfx9GWyQ,941.0,0,1.0,1,0.5,10.0,9854.0,1,0,1
uRHjL8mIxkT9qcfD8rX0HPjmtIFZ17T0Vh7RfGxHaxGdXf38e2A8UOnOp0_Bzb8tj1vyzBY3svHpUg,1466.6666666666667,465651.5862068966,1.5,12,1.8938053097345133,13.13,21470.6,20,1,20
NWUvwDFdW5akPTO0fDE6Y8jLKBN0-cAuhUjZF1gbEqPRfvo_bD_nFVXjhIk62bAGGZSSdq073kPKBA,941.0,0,1.0,1,5.0,9.0,11413.0,1,0,1
mHnmbBUyJuvF6pdbM8eDjoelX0gLsZHgjHHUQJTm3Mo4plhLaMM2YeqSWOrjIj5Phd39EWnVn4amvg,941.0,0,0.0,1,1.5,11.0,11943.0,1,0,1
c1QBs8FIkospeZ9z-eO0qPZuCGEndjA0QZml_i0thGqZntYiOWZWqQcUsSn00wD1u_FgNUE7yhBjZw,1702.5,3884369.0,0.0,2,1.105263157894737,13.5,33542.0,2,1,2
c0_FBte-EaOGCrVhZsZMXblBO7cEWmLuPyihq8zc5Zwc9NE8MUJbyeLgkIT3gKWH7H2wD-3w_qXyfw,1615.5,271004.0,2.0,2,1.4285714285714286,15.0,22039.5,2,1,2
H2Yyk6Gl_YU3K5KBsk50lTZ3RuTNfIq7jb4yWnpcFR_D7vLR7N9b7Sx7lYgwtZwmYocPre1uSSOgoA,1832.0,0,1.0,1,2.3333333333333335,16.0,25930.0,1,0,1
kgdhjSIdR06i-WSwBiRdCtAL6GPupvkk6Zsan0cwxAxEYUeQkMyyUyuWM0htWdtU1DivsYvWCPRTMQ,1832.0,0,1.0,1,7.0,15.0,28340.0,1,0,1
ZS9C54kG4AbGjtJ_Qh678AxDPNcJblbchmXcVp8h_NWA3-gVzpeBI4h3SYWutvwUMxASzIhfyJktYw,1763.2,345803.25,4.0,2,0.5454545454545454,12.8,14327.4,3,1,3
rvsWTORx0FDj3QEEIgpj8bhOVhbh5uxdYymXtneVhqZ3mHJCV01JTHmIaknSygOwU_uhnaKpI69mLw,1832.0,0,0.0,1,1.1666666666666667,14.0,22938.0,1,0,1
AoQY02FhvSvli1S3Z0Od_5-9Bta9eOtTAj30tByxNYFcZup1b8VRibmuo-m2C8Y0MIvN-kZ6f6PF_g,1832.0,0,0.0,1,0.3333333333333333,14.0,20585.0,1,0,1
lnipVaDamW32HvQXTr65SjFEh8B5CYuNSJD3lTgggPF0lfzMdmERi_qTWz7buBRvtrN1F-mbmbo79Q,1955.5,903896.0,0.0,2,2.6,16.0,25379.0,2,1,2
DdkeU0RVrOm7IMigzncHe7HyfFtV4W5optrQfhhZsrUAnVyb-QIK82mfgSNSaOi5l3fHgmmV3OPuXw,1849.0,7632.0,1.0,1,0.625,14.5,22435.0,1,0,1
yb6ergIixWg9U1xIB63VA-OGhGHPZTG2CtVmugCw4HPXfv3zGPntZ81m0ZXJKvNqZgXN7RWOcZnTaA,1968.0,605443.0,1.0,2,0.0625,12.5,14286.0,2,1,2
Y_cXFnm9Z8xfnMM0r5pAC_KEf3MbQsSK72_2UOBoaRW3kjlIyTQtwxEhJS0JvhW-DZLU0cY1glZKoA,1367.5,292.0,0.0,1,0.2,13.0,17835.0,1,0,1
knZeAvSS-99-Kzgpr7NRbTVxQk1yIdnhnQpKyV7ah7woYXAPW7uFOUcTc3BClqDnezOXDH1jjq_P2Q,1425.0,3887413.0,0.3333333333333333,1,0.55,12.25,16025.25,4,1,4
Gku9JMeLL5oQyM-ipmj6-e-PtWBPUhWh9d3T9JpNnyVRyt4c-ZLv2vSici0-jhw2N5Is74myGK-Ihg,1822.0,0,0.0,1,0.2857142857142857,15.0,19322.0,1,0,1
v9Sn3djJTNDSVfDpAjG1lPXq30D8LTTWIGFPRaa6FdPbT2WPbRJ1iGFmt0rymbBygb84caZ0ODasHQ,1822.0,0,0.0,1,2.0,15.0,29430.0,1,0,1
mwi7vFqtWQDOqCQagxFT0lPVkrzDhd-i3LixFUacwySUO-yRZpUcdeJ8fbdBZ5pVT6gR5NBq2Se5Qw,1822.0,0,0.0,1,1.2,13.0,20307.0,1,0,1
GWAihfkMM6yKxf9ihFzdm-8Z_FM4ycIQdtHqeGuh0crf-WRSvpPcrzxzp2VAkI9xv5nw7hkm8osm3w,1822.0,0,1.0,1,1.1666666666666667,15.0,21741.0,1,0,1
nb1qCdmH-rhakMTItzPRSF3lBDvIU1wcvfLzZs18dVsbtSEXXs3nCgDSRQVEL67Fuf3wz0tlAdo_tA,1797.7142857142858,1696035.6666666667,1.3333333333333333,2,1.0212765957446808,16.14,27312.14285714286,4,1,4
0ULi0Ykk1lZegfpma-adewGdQX_u3oZhVJhcqyf48Pmwptbn8PzLhRaqWUG5_JzIHIV3i_3VmRtBtA,1781.0,1131750.0,1.0,2,0.5882352941176471,14.0,21506.0,2,1,2
tFqKp2Edcy9M_tcHqhMvohCYYLUaA_fKRphMChMKsa43HbaF_OICItES16LyYiulH_w2gtSk-c1ZAw,1822.0,0,1.0,1,0.5,12.0,17096.0,1,0,1
AbSiBgkxsEnZ_H8yNt8k92KBJtsGV8eY4VEzFaZMAk96qFADNIzq0VuNbMg2KeUlN-L0qZawn83e3w,1466.0,449835.25,1.5,1,1.7142857142857142,13.2,20323.8,3,1,3
jbA04DFv5o9VB7VfKRgUQN9q3DN0hwzP0KtEUnVYX1i5cJZTMlXkoKI55IhoPFFl_0VrGPMoiFcuPQ,1420.0,1152184.0,2.0,2,3.0,13.5,21435.5,2,1,2
vIR1m-oFedjAK2PWcGpcaXWP7uoUfVisGv0fW4mMmSqWtCfVINuwFohr9jyD9PM91WnJMUpbfphb6w,1281.5,8924.0,1.0,1,1.4285714285714286,11.0,16411.0,1,0,1
CzRziQf4WlIMi3XllnFMuJUw6EJ_kckalrqlTboBXJ6veBciM0nldHk4dANdSIXh3LaEqIfI7v2i3Q,1407.0,1783144.0,3.0,3,0.45454545454545453,10.0,12326.666666666666,2,1,2
6qV1wby4HnnE8Zoso6WIfVm8L08-EhjDJEpXeA18K1VyhVSkEEEdAM4UgYsqIQ28rVNncruLFEiiwQ,913.0,0,0.0,1,0.0,9.0,8985.0,1,0,1
6AWW7cKBEFUPK4fqEbAlD4I1iIuqGG0WjOFr0Apmq2e4Rp95LvjJrS4wajrEq-CulfN4iqbgjZ75cA,1497.6666666666667,1563703.0,0.0,3,0.28,12.33,14827.0,2,1,2
EiHigziZ1XaKLOEm0zam2wH1IeYjnvRX1f5NShy67UZ4nf33l5p5Zj7HNHjz3RPjMrHk3-1XhZevsw,913.0,0,0.0,1,1.0,8.0,10338.0,1,0,1
N7BtetTZhHo-cmR1k5Nhf7VrNUwcM-Kows5OqpBoddUG-q3x8rV6kHIZZ3eCq0HfULHOUq_0FozvRg,913.0,0,0.0,1,0.0,8.0,6996.0,1,0,1
7KI2sh_nsR_awImXUQfWJMosGPGTKwod2qjnYSHJRBC5FAcubbJ2XEw1THej8VsktzjTsKfANRnA6w,1663.125,1445659.2857142857,0.3333333333333333,7,0.8285714285714286,14.5,20367.75,5,1,5
5Q9PDxcQduBtZMG1ILkUt09D1Tgavo_KTg43RfOL1bePEQLZgMKFAFcHuNuC8Ex0S3fZjm4z7Cyasw,1913.0,0,0.0,1,0.125,14.0,18608.0,1,0,1
8kVw6Kd_82aK6cK-ramC1k5XSzJr8_BV4a4GqOlWaiNooOnB7BcNbBtlf3fCUEKRGBJpI7vmRrEUWw,1997.0,3883433.0,1.0,2,0.75,15.0,22942.5,2,1,2
befahsG1g9JYsVAS5kY75UT0SUSrPRNqZ1TPJEVsWI8pQ7AJ-JMv-hUIavJQqi0_cgiNCrED6f1Cog,1913.0,0,0.0,1,0.6666666666666666,12.0,19393.0,1,0,1
tPx3Q3lJK1KwIm_SZA6McRk8xMwQk5gFUV-2XRIoMOB85LOBbj-TwTm_u0Dvq0QzR6H_TZBeiqUJeQ,1656.0,265113.0,1.0,1,0.4444444444444444,14.0,18908.5,2,1,2
